date,electricity_cost,oil_cost,tavg,tmin,tmax,prcp,snow,HDD,CDD,heating_days,cost_per_hdd,cooling_days,cost_per_cdd,total_dd,cost_per_dd
2021-12-01,0.0,446.19,4.074193548387097,-6.6,17.8,62.3,60.0,431.7,0.0,True,1.0335649756775538,False,0.0,431.7,1.0335649756775538
2022-01-01,328.3,390.6,-2.270967741935484,-15.5,11.1,59.1,1920.0,628.4,0.0,True,1.1440165499681734,False,0.0,628.4,1.1440165499681734
2022-02-01,352.8,957.35,0.7035714285714285,-12.1,20.6,117.2,1980.0,484.3,0.0,True,2.705244683047698,False,0.0,484.3,2.705244683047698
2022-03-01,284.2,590.27,5.051612903225807,-8.2,20.0,74.6,550.0,401.4,0.0,True,2.178550074738416,False,0.0,401.4,2.178550074738416
2022-04-01,220.99,652.62,9.936666666666667,1.7,22.8,59.0,0.0,241.9,0.0,True,3.611451012815213,False,0.0,241.9,3.611451012815213
2022-05-01,225.4,0.0,15.251612903225809,5.0,31.7,33.599999999999994,0.0,111.2,25.999999999999996,True,2.026978417266187,True,8.66923076923077,137.2,1.642857142857143
2022-06-01,201.39,0.0,19.59333333333333,10.6,32.2,59.2,0.0,23.9,71.69999999999999,True,8.426359832635983,True,2.8087866108786614,95.6,2.1065899581589957
2022-07-01,241.08,0.0,25.174193548387095,16.1,37.8,15.8,0.0,0.0,222.4,False,0.0,True,1.0839928057553958,222.4,1.0839928057553958
2022-08-01,443.45,319.07,24.258064516129032,17.2,36.7,37.5,0.0,0.0,194.0,False,0.0,True,2.285824742268041,194.0,3.9305154639175255
2022-09-01,326.83,0.0,18.446666666666665,8.9,28.9,66.2,0.0,27.5,40.9,True,11.884727272727272,True,7.990953545232274,68.4,4.778216374269006
2022-10-01,285.67,0.0,13.567741935483872,3.9,25.6,108.8,0.0,137.9,0.5,True,2.0715736040609136,True,0.0,138.4,2.0640895953757226
2022-11-01,211.68,586.64,9.633333333333333,-3.8,25.0,68.5,0.0,259.2,8.2,True,3.0799382716049384,True,25.814634146341465,267.4,2.9854899027673896
2022-12-01,340.55,712.74,3.070967741935484,-11.6,17.2,95.4,151.0,462.8,0.0,True,2.275907519446845,False,0.0,462.8,2.275907519446845
2023-01-01,414.5,618.52,3.358064516129032,-4.9,14.4,133.0,410.0,453.9,0.0,True,2.2758757435558494,False,0.0,453.9,2.2758757435558494
2023-02-01,324.04,1196.63,1.842857142857143,-23.2,16.7,34.7,450.0,452.4,0.0,True,3.3613395225464195,False,0.0,452.4,3.3613395225464195
2023-03-01,327.44,559.19,4.764516129032257,-2.1,16.1,108.9,850.0,410.3,0.0,True,2.1609310260784795,False,0.0,410.3,2.1609310260784795
2023-04-01,273.15,0.0,10.226666666666668,-0.5,31.1,78.8,0.0,240.1,6.899999999999999,True,1.1376509787588505,True,39.58695652173913,247.0,1.1058704453441295
2023-05-01,182.86,390.78,15.661290322580646,5.6,30.0,57.4,0.0,96.1,23.6,True,5.969198751300729,True,7.748305084745763,119.69999999999999,4.792314118629909
2023-06-01,168.65,0.0,18.446666666666665,8.3,28.9,87.4,0.0,39.099999999999994,52.5,True,4.313299232736574,True,3.2123809523809523,91.6,1.8411572052401748
2023-07-01,263.95,0.0,23.79032258064516,16.1,32.8,264.7,0.0,0.0,179.5,False,0.0,True,1.4704735376044569,179.5,1.4704735376044569
2023-08-01,212.11,0.0,21.81935483870968,15.0,31.1,164.2,0.0,0.0,118.4,False,0.0,True,1.7914695945945946,118.4,1.7914695945945946
2023-09-01,214.2,0.0,19.51,9.4,33.9,95.4,0.0,26.8,72.1,True,7.992537313432835,True,2.970873786407767,98.89999999999999,2.1658240647118303
2023-10-01,146.92,390.6,14.87741935483871,4.4,28.3,36.0,0.0,108.9,12.100000000000003,True,4.935904499540863,True,12.142148760330574,121.00000000000001,4.442314049586776
2023-11-01,174.94,479.16,6.1433333333333335,-2.7,18.9,49.0,0.0,355.7,0.0,True,1.8389091931402868,False,0.0,355.7,1.8389091931402868
